"module";"genotype";"Y";"X";"W_02.07.21";"W_09.07.21";"W_16.07.21";"W_23.07.21";"W_30.07.21";"W_06.08.21";"W_13.08.21";"W_20.08.21";"W_27.08.21";"W_03.09.21";"W_10.09.21";"W_17.09.21";"W_24.09.21";"W_02.07.21_TT";"W_09.07.21_TT";"W_16.07.21_TT";"W_23.07.21_TT";"W_30.07.21_TT";"W_06.08.21_TT";"W_13.08.21_TT";"W_20.08.21_TT";"W_27.08.21_TT";"W_03.09.21_TT";"W_10.09.21_TT";"W_17.09.21_TT";"W_24.09.21_TT"
"date 1";"Cm484";2;2;0;0;0.05;0.05;0.05;0.05;0.05;0.05;0.1;0.1;0.25;0.35;0.35;44.2082671791288;49.744222146642;55.1714950529915;64.0347516290986;69.9789820872163;75.2693117107613;81.958892069849;88.032629975754;93.7335655638364;99.32305888254;107.491980675574;113.187112397129;117.718050292973
"date 3";"LO3";2;2;0;0;0;0;0.0666666666666667;0.2;0.266666666666667;0.4;0.4;0.4;0.4;0.4;0.4;33.132923043981;38.6688780114943;44.0961509178437;52.9594074939508;58.9036379520685;64.1939675756136;70.8835479347012;76.9572858406062;82.6582214286886;88.2477147473922;96.4166365404266;102.111768261981;106.642706157825
"date 2";"NYS302";2;2;0;0.1;0.1;0.1;0.4;0.5;0.5;0.5;0.5;0.5;0.5;0.6;0.6;38.1820866933279;43.7180416608412;49.1453145671907;58.0085711432977;63.9528016014155;69.2431312249605;75.9327115840481;82.0064494899532;87.7073850780355;93.2968783967391;101.465800189774;107.160931911328;111.691869807172
"date 1";"B73";3;2;0;0;0;0;0.0476190476190476;0.0952380952380952;0.19047619047619;0.285714285714286;0.285714285714286;0.285714285714286;0.380952380952381;0.476190476190476;0.476190476190476;44.2082671791288;49.744222146642;55.1714950529915;64.0347516290986;69.9789820872163;75.2693117107613;81.958892069849;88.032629975754;93.7335655638364;99.32305888254;107.491980675574;113.187112397129;117.718050292973
"date 2";"B73";3;2;0;0;0;0;0.214285714285714;0.285714285714286;0.285714285714286;0.285714285714286;0.285714285714286;0.285714285714286;0.285714285714286;0.285714285714286;0.285714285714286;38.1820866933279;43.7180416608412;49.1453145671907;58.0085711432977;63.9528016014155;69.2431312249605;75.9327115840481;82.0064494899532;87.7073850780355;93.2968783967391;101.465800189774;107.160931911328;111.691869807172
"date 3";"F618";3;2;0.05;0.05;0.1;0.25;0.25;0.3;0.35;0.35;0.35;0.4;0.7;0.7;0.7;33.132923043981;38.6688780114943;44.0961509178437;52.9594074939508;58.9036379520685;64.1939675756136;70.8835479347012;76.9572858406062;82.6582214286886;88.2477147473922;96.4166365404266;102.111768261981;106.642706157825
"date 2";"G18-M52";4;2;0;0;0.166666666666667;0.333333333333333;0.833333333333333;0.833333333333333;1;1;1;1;1;1;1;38.1820866933279;43.7180416608412;49.1453145671907;58.0085711432977;63.9528016014155;69.2431312249605;75.9327115840481;82.0064494899532;87.7073850780355;93.2968783967391;101.465800189774;107.160931911328;111.691869807172
"date 1";"HP301";4;2;0;0;0;0.0555555555555556;0.111111111111111;0.111111111111111;0.111111111111111;0.166666666666667;0.444444444444444;0.5;0.5;0.5;0.5;44.2082671791288;49.744222146642;55.1714950529915;64.0347516290986;69.9789820872163;75.2693117107613;81.958892069849;88.032629975754;93.7335655638364;99.32305888254;107.491980675574;113.187112397129;117.718050292973
"date 3";"MBS847";4;2;0.0555555555555556;0.0555555555555556;0.0555555555555556;0.0555555555555556;0.388888888888889;0.5;0.555555555555556;0.666666666666667;0.666666666666667;0.666666666666667;0.722222222222222;0.722222222222222;0.777777777777778;33.132923043981;38.6688780114943;44.0961509178437;52.9594074939508;58.9036379520685;64.1939675756136;70.8835479347012;76.9572858406062;82.6582214286886;88.2477147473922;96.4166365404266;102.111768261981;106.642706157825
"date 3";"F66";5;2;0;0;0.0526315789473684;0.105263157894737;0.105263157894737;0.105263157894737;0.210526315789474;0.473684210526316;0.473684210526316;0.473684210526316;0.736842105263158;0.736842105263158;0.789473684210526;33.132923043981;38.6688780114943;44.0961509178437;52.9594074939508;58.9036379520685;64.1939675756136;70.8835479347012;76.9572858406062;82.6582214286886;88.2477147473922;96.4166365404266;102.111768261981;106.642706157825
